Frame,Lane0,Lane1,Lane2,Lane3
0,0,6,3,1
1,0,6,3,1
2,0,6,3,2
3,0,5,3,2
4,0,6,3,2
5,0,5,3,2
6,0,8,2,2
7,0,6,0,3
8,0,7,1,2
9,0,6,1,2
10,1,4,1,2
11,0,4,1,3
12,1,6,2,3
13,0,6,2,3
14,0,6,2,4
15,1,6,4,3
16,0,5,3,3
17,0,6,2,3
18,0,5,2,3
19,0,5,2,3
20,0,6,3,3
21,0,5,4,3
22,0,5,2,3
23,0,4,2,3
24,0,4,5,2
25,0,5,3,2
26,0,7,3,2
27,0,6,4,2
28,0,7,3,2
29,0,7,3,2
30,0,6,3,1
31,0,7,3,2
32,0,7,3,0
33,0,6,4,1
34,0,5,3,0
35,0,7,2,0
36,0,7,4,0
37,1,5,5,0
38,1,6,4,0
39,1,7,3,2
40,1,6,4,2
41,1,6,3,2
42,3,6,3,2
43,1,6,3,2
44,2,9,3,3
45,2,6,4,2
46,1,7,4,2
47,2,6,3,3
48,1,5,3,3
49,1,6,3,3
50,1,7,3,3
51,1,5,3,3
52,1,5,2,3
53,1,6,3,3
54,1,8,2,3
55,1,8,3,3
56,1,11,3,3
57,1,11,2,3
58,1,11,2,3
59,1,8,2,3
60,1,10,4,1
61,0,7,4,2
62,0,6,4,2
63,0,6,4,2
64,0,8,4,3
65,0,8,3,4
66,0,12,3,4
67,0,14,3,3
68,0,12,4,4
69,0,10,3,3
70,0,10,3,3
71,1,7,3,3
72,1,9,3,4
73,1,8,3,4
74,1,9,3,4
75,1,6,3,4
76,1,7,4,3
77,0,7,4,3
78,0,9,4,4
79,0,9,4,4
80,0,10,6,4
81,0,11,3,3
82,2,7,4,3
83,1,7,4,3
84,1,8,3,3
85,2,7,3,3
86,1,8,4,2
87,2,8,5,2
88,1,7,4,1
89,1,6,5,2
